wl,n
0.2070,2.5124698613091
0.2173,2.4353799846626
0.2277,2.3747721697545
0.2380,2.3268147440926
0.2483,2.2876619853427
0.2587,2.254871947266
0.2690,2.2275579346484
0.2793,2.2042916765396
0.2896,2.1842718731185
0.3000,2.1667358933251
0.3103,2.1515521730577
0.3206,2.1381771219934
0.3310,2.1262145580458
0.3413,2.1156619605785
0.3516,2.1062103317355
0.3620,2.0976280439163
0.3723,2.0899524686259
0.3826,2.0829912151408
0.3929,2.0766556659854
0.4033,2.0708171936356
0.4136,2.065523824434
0.4239,2.0606623444022
0.4343,2.0561441257594
0.4446,2.0520151788512
0.4549,2.0481950520571
0.4653,2.0446199004556
0.4756,2.0413313499151
0.4859,2.0382700672906
0.4962,2.0354151717091
0.5066,2.0327231403875
0.5169,2.0302291851431
0.5272,2.0278919073275
0.5376,2.0256775968537
0.5479,2.0236170281252
0.5582,2.0216777134934
0.5686,2.0198329536253
0.5789,2.0181096046827
0.5892,2.0164816674444
0.5995,2.0149421293881
0.6099,2.0134708507162
0.6202,2.0120902799634
0.6305,2.0107805958321
0.6409,2.0095252030297
0.6512,2.0083437886793
0.6615,2.0072199187714
0.6719,2.0061397380092
0.6822,2.0051205725866
0.6925,2.0041486332012
0.7028,2.003221016769
0.7132,2.0023266361311
0.7235,2.0014801920673
0.7338,2.0006705924244
0.7442,1.9998883503725
0.7545,1.9991465191114
0.7648,1.9984355782039
0.7752,1.9977473403801
0.7855,1.9970934397329
0.7958,1.9964656392409
0.8061,1.9958625572729
0.8165,1.9952773861932
0.8268,1.9947201629349
0.8371,1.9941840202273
0.8475,1.9936629844057
0.8578,1.9931660759798
0.8681,1.9926872594185
0.8785,1.992221261306
0.8888,1.9917762156176
0.8991,1.9913467874262
0.9094,1.9909322499421
0.9198,1.9905280991827
0.9301,1.9901414566177
0.9404,1.9897677595203
0.9508,1.989402983887
0.9611,1.9890535972988
0.9714,1.9887155200006
0.9818,1.9883851408209
0.9921,1.9880683500303
1.002,1.9877732210509
1.013,1.9874556082959
1.023,1.9871758983735
1.033,1.9869044363552
1.044,1.9866149698506
1.054,1.9863597968999
1.064,1.9861119216334
1.075,1.9858473575935
1.085,1.9856139217642
1.095,1.9853869669163
1.106,1.9851445175295
1.116,1.9849304087297
1.126,1.9847220757507
1.137,1.9844993340995
1.147,1.9843024684269
1.157,1.9841107671023
1.168,1.9839056461673
1.178,1.9837242141551
1.188,1.9835474141092
1.199,1.9833580969079
1.209,1.983190521133
1.219,1.9830271120305
1.230,1.9828520106204
1.240,1.9826969107813
